Participant,Widget,Location,TaskType,SelectionMethod,SRC,Trials,A,W,ID,Ae,We,IDe(bits),PT(ms),ST(ms),MT(ms),ER(%),TP(bps),TRE,TAC,MDC,ODC,MV,ME,MO
P9,Joystick,Center,2D,DT500,0,7,500,40,3.754887499779624,498.3647958775458,41.06350163622922,3.715502640857064,6026.428571428572,500.0,6527.428571428572,0.0,0.5692138336251301,0.0,1.2857142857142858,2.4285714285714284,0.2857142857142857,13.681505203122851,17.176861818717327,8.327824127520651
P9,Joystick,Center,2D,DT500,0,7,100,40,1.8073549209101785,99.56843241003368,22.647340680156283,2.4320169292601608,6949.0,500.57142857142856,7449.857142857143,0.0,0.3264514852599499,1.4285714285714286,1.5714285714285714,2.0,2.142857142857143,11.71783808154058,14.432226575068638,-5.244879032305279
P9,Joystick,Front,2D,DT500,0,7,250,40,2.857980993313141,239.66704070547345,45.34333121237543,2.652052130468016,3804.0,500.0,4304.857142857143,0.0,0.6160604272010389,0.0,0.7142857142857143,1.7142857142857142,0.1428571428571428,13.311741935106564,20.792262226027454,7.72869815133069
P9,Joystick,Front,2D,DT500,0,7,250,60,2.3692338081615767,234.24680377479729,37.5597130544995,2.8553220983760386,3003.5714285714284,500.8571428571428,3505.0,0.0,0.8146425387663448,0.0,0.1428571428571428,1.2857142857142858,0.1428571428571428,7.919430947233401,11.413597674887262,8.881948300850118
P9,Joystick,Front,2D,DT500,0,7,100,60,1.4150374983804868,94.14423425611244,55.98869221533574,1.42303302901345,1878.857142857143,501.1428571428572,2380.428571428572,0.0,0.5978053893713108,0.0,0.4285714285714285,0.2857142857142857,0.1428571428571428,6.3152306631086885,7.768804610457239,2.396724828370554
P9,Joystick,Front,2D,DT500,0,7,500,40,3.754887499779624,492.79382238326826,30.750367579940583,4.0896357497917,6146.857142857143,500.4285714285714,6647.714285714285,0.0,0.6151942718988676,0.2857142857142857,0.7142857142857143,1.4285714285714286,0.2857142857142857,13.674170930935436,19.46592292038814,18.264356859774
P9,Joystick,Front,2D,DT500,0,7,100,40,1.8073549209101785,113.84024292511904,38.39361828721575,1.9873508563494429,5784.428571428572,500.0,6285.0,0.0,0.3162053868495533,0.8571428571428571,1.7142857142857142,2.7142857142857144,2.142857142857143,15.041917187715686,17.001586905343725,3.9959689613201874
P9,Joystick,Front,2D,DT500,0,7,500,60,3.222392419290665,494.9571641900736,41.41127684993003,3.695128760116191,5721.142857142857,500.2857142857143,6221.571428571428,0.0,0.593922098707569,0.0,1.2857142857142858,2.2857142857142856,0.0,12.190799798835252,16.217497566106157,-10.315233054737428
P6,Vertical,Right,1D,DT500,0,7,100,40,1.8073549209101785,102.42857142857144,64.02399883356492,1.3784264538511388,1476.857142857143,524.5714285714286,2001.857142857143,14.285714285714285,0.6885738369341307,0.1428571428571428,0.0,0.0,1.1428571428571428,1.4663363926119583e-14,28.0,28.0
P6,Vertical,Right,1D,DT500,0,7,500,40,3.754887499779624,515.2857142857143,45.81645995284711,3.614325603863529,7159.571428571428,521.1428571428571,7681.285714285715,0.0,0.4705365401447804,0.1428571428571428,0.0,0.0,0.8571428571428571,7.331991854991515e-14,35.0,35.0
P6,Vertical,Right,1D,DT500,0,7,250,40,2.857980993313141,268.7142857142857,18.126677592657515,3.9840646398838513,3830.0,518.0,4348.428571428572,0.0,0.9162079069347534,0.4285714285714285,0.0,0.0,0.7142857142857143,3.9810893289826524e-14,35.0,35.0
P6,Vertical,Right,1D,DT500,0,7,500,60,3.222392419290665,496.0,54.55175569511973,3.335180657274507,5795.142857142857,526.0,6321.857142857143,0.0,0.5275634330084186,0.0,0.0,0.0,0.5714285714285714,6.831849540759007e-14,35.0,35.0
P6,Vertical,Right,1D,DT500,0,7,250,60,2.3692338081615767,246.42857142857144,52.97086626625846,2.4988005030218243,3199.1428571428573,535.4285714285714,3735.142857142857,0.0,0.6689973044118707,0.0,0.0,0.0,0.4285714285714285,3.3266266275927026e-14,35.0,35.0
