Participant,Widget,Location,TaskType,SelectionMethod,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
P9,Joystick,Center,2D,DT500,1,500.0,40.0,490.2471849221845,2.783228831272646,6135,500,6636,0,0,0,3,0,9.765484085253975,15.463034229448033,-15.463034229448033
P9,Joystick,Center,2D,DT500,2,500.0,40.0,488.66723590313,1.2032798122181578,6302,500,6803,0,0,0,2,0,19.248824935834065,30.36257776221501,30.173530878832736
P9,Joystick,Center,2D,DT500,3,500.0,40.0,501.731978045456,14.268021954544157,5910,500,6411,0,0,2,1,1,9.111596225182032,9.094202898550725,6.065217391304348
P9,Joystick,Center,2D,DT500,4,500.0,40.0,498.25267657371137,10.788720482799558,5632,500,6133,0,0,1,2,0,21.594838121889097,27.13468761048361,25.17615651210481
P9,Joystick,Center,2D,DT500,5,500.0,40.0,496.2045963105129,8.740640219601087,5502,500,6003,0,0,2,2,0,7.995451862620878,7.42126155826872,5.038423674919937
P9,Joystick,Center,2D,DT500,6,500.0,40.0,471.6746001571597,-15.789355933752084,7297,500,7798,0,0,3,3,1,15.178778756946135,14.292350573237345,-6.51873818874665
P9,Joystick,Center,2D,DT500,0,100.0,40.0,101.72068896335234,4.22789774516994,1523,500,2023,0,0,0,0,0,0.5773804943719708,4.719764025308511,4.719764025308511
P9,Joystick,Center,2D,DT500,1,100.0,40.0,92.7567497033134,-4.736041514869035,11950,500,12451,0,3,4,5,4,18.615488952806988,22.715405461740684,-19.23443311734838
P9,Joystick,Center,2D,DT500,2,100.0,40.0,107.27617063308118,9.783379414898787,3521,500,4021,0,0,1,1,0,12.650638059846058,16.122748350037924,12.874420212238602
P9,Joystick,Center,2D,DT500,3,100.0,40.0,95.74639560909117,-1.7463956090912276,2608,501,3109,0,0,1,0,1,6.713234075351672,10.428571428571429,-8.983193277310924
P9,Joystick,Center,2D,DT500,4,100.0,40.0,92.19437527985376,-5.298415938328664,8436,500,8937,0,2,0,2,2,6.770636573509217,14.367504513048315,-13.941279721834006
P9,Joystick,Center,2D,DT500,5,100.0,40.0,102.0396473357912,4.546856117608708,7582,500,8082,0,2,2,2,2,14.8235269167651,15.957729707439276,-10.076564695512818
P9,Joystick,Center,2D,DT500,6,100.0,40.0,98.46771913036424,0.9749279121818188,13023,503,13526,0,3,3,4,6,21.87396149813307,16.713862539334333,-2.072866651677938
P9,Horizontal,Center,1D,DT500,0,250.0,60.0,235.0,-15.000000000000014,3582,523,4105,0,0,0,0,0,1.7286425625262133e-14,4.999999999999971,4.999999999999971
P9,Horizontal,Center,1D,DT500,1,250.0,60.0,254.0,4.0,2663,545,3209,0,0,0,0,0,1.8097202891172342e-14,5.000000000000034,5.000000000000034
P9,Horizontal,Center,1D,DT500,2,250.0,60.0,252.0,1.999999999999985,2797,511,3308,0,0,0,0,0,1.936591896264204e-14,4.99999999999997,4.99999999999997
P9,Horizontal,Center,1D,DT500,3,250.0,60.0,257.99999999999994,7.999999999999971,3153,515,3668,0,0,0,0,0,1.9203069390811287e-14,5.00000000000003,5.00000000000003
P9,Horizontal,Center,1D,DT500,4,250.0,60.0,259.0,8.999999999999972,3367,517,3884,0,0,0,0,0,2.0397453817906623e-14,4.999999999999969,4.999999999999969
P9,Horizontal,Center,1D,DT500,5,250.0,60.0,249.0,-1.0,2916,538,3454,0,0,0,0,0,1.9452699651522107e-14,5.000000000000028,5.000000000000028
P9,Horizontal,Center,1D,DT500,6,250.0,60.0,254.0,4.0,2680,500,3180,0,0,0,0,0,1.9017183860881526e-14,4.999999999999968,4.999999999999968
P9,Horizontal,Center,1D,DT500,0,500.0,60.0,507.0,6.999999999999971,5063,531,5595,0,0,0,0,0,3.7133931414897734e-14,11.99999999999993,11.99999999999993
P9,Horizontal,Center,1D,DT500,1,500.0,60.0,497.0,-3.0,5576,522,6098,0,0,0,0,0,4.0169677982174844e-14,12.000000000000046,12.000000000000046
P9,Horizontal,Center,1D,DT500,2,500.0,60.0,513.9999999999999,13.99999999999994,4954,529,5483,0,0,0,0,0,3.791236223770152e-14,11.999999999999927,11.999999999999927
P9,Horizontal,Center,1D,DT500,3,500.0,60.0,502.0,1.999999999999971,5516,523,6040,0,0,0,0,0,4.2319790723550375e-14,12.000000000000036,12.000000000000036
P9,Horizontal,Center,1D,DT500,4,500.0,60.0,502.0,1.999999999999971,5098,544,5643,0,0,0,0,0,3.637251503026824e-14,11.99999999999994,11.99999999999994
P9,Horizontal,Center,1D,DT500,5,500.0,60.0,502.0,1.999999999999971,5257,501,5758,0,0,0,0,0,3.6517595226323584e-14,12.000000000000064,12.000000000000064
P9,Horizontal,Center,1D,DT500,6,500.0,60.0,486.0,-13.999999999999972,5483,522,6005,0,0,0,0,0,3.628529578877472e-14,11.999999999999943,11.999999999999943
P9,Horizontal,Center,1D,DT500,0,250.0,40.0,263.0,13.000000000000028,3036,500,3537,0,0,0,0,0,2.068840313503016e-14,11.999999999999972,11.999999999999972
P9,Horizontal,Center,1D,DT500,1,250.0,40.0,243.0,-7.0,3245,512,3757,0,0,0,0,0,2.0967225575690203e-14,12.00000000000002,12.00000000000002
P9,Horizontal,Center,1D,DT500,2,250.0,40.0,253.0,3.0,3463,510,3973,0,0,0,0,0,1.8649891712217712e-14,11.99999999999997,11.99999999999997
P9,Horizontal,Center,1D,DT500,3,250.0,40.0,258.0,8.0,3049,511,3561,0,0,0,0,0,2.0108198645161682e-14,12.000000000000034,12.000000000000034
P9,Horizontal,Center,1D,DT500,4,250.0,40.0,232.0,-18.0,3274,545,3820,0,0,0,0,0,2.2190305341380926e-14,11.999999999999984,11.999999999999984
P9,Horizontal,Center,1D,DT500,5,250.0,40.0,265.0,15.0,2955,526,3482,0,0,0,0,0,2.0485946440854968e-14,12.000000000000044,12.000000000000044
P9,Horizontal,Center,1D,DT500,6,250.0,40.0,254.0,3.999999999999985,3199,531,3730,0,0,0,0,0,2.2079179675309744e-14,11.99999999999998,11.99999999999998
P9,Horizontal,Center,1D,DT500,0,100.0,40.0,109.0,8.999999999999991,1592,537,2130,0,0,0,0,0,9.140905156548206e-15,11.99999999999999,11.99999999999999
P9,Horizontal,Center,1D,DT500,1,100.0,40.0,113.0,13.0,1800,508,2308,0,0,0,0,0,1.3304900868912743e-14,12.000000000000004,12.000000000000004
P9,Horizontal,Center,1D,DT500,2,100.0,40.0,116.0,16.0,2279,507,2787,0,0,0,0,0,1.4056012452644638e-14,11.999999999999996,11.999999999999996
P9,Horizontal,Center,1D,DT500,3,100.0,40.0,101.0,1.0,1947,533,2480,0,0,0,0,0,1.2918994878153631e-14,12.000000000000002,12.000000000000002
P9,Horizontal,Center,1D,DT500,4,100.0,40.0,109.0,8.999999999999991,2597,516,3114,0,0,0,0,0,8.895983701186277e-15,11.99999999999999,11.99999999999999
P9,Horizontal,Center,1D,DT500,5,100.0,40.0,96.0,-4.000000000000009,3175,506,3681,0,0,0,0,0,1.1245064757477915e-14,12.000000000000004,12.000000000000004
P9,Horizontal,Center,1D,DT500,6,100.0,40.0,101.0,1.0,2089,527,2617,0,0,0,0,0,8.148361360181681e-15,11.99999999999999,11.99999999999999
P9,Horizontal,Center,1D,DT500,0,100.0,60.0,106.0,6.0,1795,520,2316,0,0,0,0,0,8.661033461645526e-15,11.999999999999982,11.999999999999982
P9,Horizontal,Center,1D,DT500,1,100.0,60.0,103.0,3.0,2239,531,2771,0,0,0,0,0,1.1572858396445952e-14,12.000000000000004,12.000000000000004
P9,Horizontal,Center,1D,DT500,2,100.0,60.0,101.0,1.0,1888,504,2393,0,0,0,0,0,9.38498987654954e-15,11.999999999999991,11.999999999999991
P9,Horizontal,Center,1D,DT500,3,100.0,60.0,90.0,-10.0,1724,518,2243,0,0,0,0,0,7.588599744428075e-15,12.000000000000012,12.000000000000012
P9,Horizontal,Center,1D,DT500,4,100.0,60.0,104.0,4.0,1279,535,1814,0,0,0,0,0,8.771129953521035e-15,11.999999999999982,11.999999999999982
P9,Horizontal,Center,1D,DT500,5,100.0,60.0,88.0,-11.999999999999996,2011,529,2541,0,0,0,0,0,7.635909270407872e-15,12.000000000000009,12.000000000000009
P9,Horizontal,Center,1D,DT500,6,100.0,60.0,109.0,8.999999999999991,1676,521,2197,0,0,0,0,0,8.421540943311385e-15,11.999999999999982,11.999999999999982
P9,Horizontal,Center,1D,DT500,0,500.0,40.0,505.0,5.0,4914,511,5426,0,0,0,0,0,3.6506244361662e-14,11.99999999999993,11.99999999999993
